case,num_errors,error_dict,fidelity,alpha,beta,alpha_rec,beta_rec
290,1,{6: 'X'},1.0,0.7601720237548084,(-0.20670724238238336-0.6159631565663563j),(0.7601720237548086+0j),(-0.2067072423823834-0.6159631565663564j)
291,1,{1: 'X'},1.0000000000000004,0.9928449184182044,(0.05446912128569576+0.10626421221424029j),(0.9928449184182047+0j),(0.05446912128569581+0.1062642122142403j)
292,1,{8: 'X'},1.0,0.5846280090979783,(-0.12309751262902094+0.8019084070906616j),(0.5846280090979783+0j),(-0.12309751262902094+0.8019084070906616j)
293,3,"{7: 'X', 8: 'Y', 6: 'Z'}",0.9957115021612117,0.032760897147194545,(0.4826501130897581-0.8752003153293277j),0.032760897147194504j,(-0.8752003153293278-0.482650113089758j)
294,2,"{7: 'Y', 0: 'Y'}",0.0,0.40403517805744227,(-0.9128537160854108+0.05876791574615497j),0j,0j
295,3,"{0: 'Y', 4: 'Z', 6: 'X'}",0.0,0.8190777621075643,(-0.243821638306009+0.5192905047414577j),0j,0j
296,2,"{3: 'X', 8: 'X'}",0.0,0.9952422030343548,(0.07592607480363713-0.06105889340822152j),0j,0j
297,3,"{1: 'X', 7: 'X', 4: 'X'}",0.0,0.48733233415095967,(0.15128160749244973-0.8600122506833713j),0j,0j
298,2,"{0: 'Y', 2: 'Y'}",0.6107263412573438,0.33053757608214124,(0.9228090405347056-0.19791004397240375j),(-0.3305375760821412+0j),(0.9228090405347057-0.19791004397240378j)
299,3,"{3: 'Z', 8: 'Z', 4: 'Y'}",0.0,0.40668155248056,(0.2929894349035567-0.8653134148427933j),0j,0j
300,3,"{8: 'Z', 7: 'Y', 2: 'Z'}",0.0,0.6929604923919828,(-0.712920778126917+0.1074696240747684j),0j,0j
301,1,{2: 'Z'},1.0,0.7688238177134203,(-0.313357237798982+0.55742010982342j),(0.7688238177134202+0j),(-0.31335723779898206+0.55742010982342j)
302,3,"{5: 'X', 0: 'Y', 1: 'X'}",0.0,0.9973238896829292,(0.05532083884789608-0.04779815746320807j),0j,0j
303,3,"{4: 'Y', 3: 'Z', 8: 'X'}",0.0,0.8206280795420123,(-0.12331764550039233-0.5579984886856131j),0j,0j
304,3,"{2: 'X', 4: 'X', 0: 'Z'}",0.0,0.7493719376313682,(0.5518226391665702-0.36596922547374133j),0j,0j
305,3,"{4: 'X', 5: 'Z', 2: 'Z'}",0.0,0.9872248365552906,(0.028955006614299412-0.15668034235457132j),0j,0j
306,3,"{3: 'Y', 8: 'Z', 2: 'Z'}",0.4112037880245986,0.5099385087053663,(0.6287539814628783-0.5870529346949265j),(0.5870529346949265+0.6287539814628783j),0.5099385087053662j
307,3,"{1: 'Y', 8: 'Y', 5: 'Y'}",0.0,0.5304824652016793,(-0.3123537859746822+0.7880504212934801j),0j,0j
308,3,"{3: 'Z', 8: 'Y', 4: 'Z'}",1.0000000000000004,0.8001400586868533,(-0.03272750337173813-0.5989196916178762j),(0.8001400586868535+0j),(-0.03272750337173821-0.5989196916178762j)
309,2,"{4: 'Z', 8: 'Y'}",0.0,0.29656601823465467,(-0.9512015303981347+0.08523054262814987j),0j,0j
310,2,"{5: 'Z', 6: 'X'}",0.0,0.9741417329548692,(-0.1857481422599451+0.12862935809007014j),0j,0j
311,3,"{7: 'Y', 3: 'Y', 0: 'Y'}",0.0,0.7383574241367683,(-0.4180890305413779+0.5291784923474189j),0j,0j
312,1,{7: 'Z'},1.0,0.9283635077805631,(-0.2514309315339588-0.2737219101375226j),(0.9283635077805632+0j),(-0.2514309315339588-0.2737219101375227j)
313,3,"{2: 'X', 4: 'X', 5: 'X'}",0.0,0.9561629222686395,(0.2921531287928566+0.019975370215346747j),0j,0j
314,3,"{2: 'Y', 8: 'Z', 7: 'Y'}",0.0,0.2792198255716175,(0.004721367359384824-0.9602155995910571j),0j,0j
315,3,"{5: 'Y', 2: 'Y', 6: 'Z'}",0.0,0.6987874308816909,(-0.4921089916992572-0.519157843753233j),0j,0j
316,1,{1: 'Z'},1.0000000000000004,0.6388088561161186,(0.6134307557814063+0.46435541690505655j),(0.6388088561161187+0j),(0.6134307557814063+0.46435541690505655j)
317,3,"{2: 'Y', 3: 'Z', 6: 'Z'}",0.015535786484545787,0.658185589734024,(0.09468654209663223+0.7468776259952215j),(-0.7468776259952213+0.09468654209663216j),0.658185589734024j
318,3,"{8: 'Z', 0: 'Y', 6: 'X'}",0.0,0.020378144229450616,(-0.5858464740676513-0.8101658102266871j),0j,0j
319,3,"{4: 'X', 1: 'X', 3: 'Z'}",0.0,0.6846273775367667,(-0.38084843253236117-0.6214819590018466j),0j,0j
320,1,{7: 'X'},1.0000000000000004,0.6067412242739372,(-0.6621665146036644-0.43977334355801867j),(0.6067412242739373+0j),(-0.6621665146036644-0.4397733435580186j)
321,3,"{1: 'Z', 7: 'X', 5: 'X'}",0.0,0.5838907740479666,(-0.5125584368644984+0.6295676395596332j),0j,0j
322,2,"{5: 'X', 1: 'X'}",0.0,0.6644676852054565,(0.6449421629392615+0.377534504093241j),0j,0j
323,3,"{8: 'Y', 6: 'Y', 2: 'Y'}",0.0,0.985296660242552,(-0.1354613824969687+0.10411870709379191j),0j,0j
324,3,"{6: 'X', 2: 'Y', 7: 'Y'}",0.0,0.5482878020856885,(-0.8025808736931008+0.23504133097407304j),0j,0j
325,3,"{6: 'X', 3: 'Z', 1: 'Y'}",0.0,0.31592871312837867,(0.649623614636928-0.6915043076706744j),0j,0j
326,2,"{1: 'Y', 0: 'Z'}",1.0,0.686538693267414,(-0.10696399497622283+0.7191824013596261j),0.6865386932674139j,(-0.7191824013596261-0.10696399497622278j)
327,2,"{4: 'X', 6: 'X'}",0.0,0.7563288803509735,(0.5184716623690049+0.3989407976973069j),0j,0j
328,3,"{8: 'Y', 2: 'Z', 1: 'Z'}",1.0,0.06846059980267655,(-0.49084567018160863+0.8685526318759418j),(0.06846059980267656+0j),(-0.4908456701816088+0.8685526318759419j)
329,1,{2: 'Z'},1.0,0.6525305548989409,(-0.4229908062170861+0.628715080763218j),(0.6525305548989409+0j),(-0.4229908062170862+0.628715080763218j)
330,1,{4: 'X'},1.0000000000000004,0.25816082292911624,(-0.9656809742900212+0.028517457790571j),(0.2581608229291162+0j),(-0.9656809742900213+0.028517457790571004j)
331,2,"{8: 'X', 3: 'Z'}",0.0,0.40814642927014866,(-0.9014134681752842+0.14446539954685797j),0j,0j
332,1,{2: 'Z'},1.0000000000000004,0.499113337540159,(0.6590464455910905-0.5626221279360359j),(0.4991133375401591+0j),(0.6590464455910905-0.5626221279360359j)
