case_num,num_errors,error_str,fidelity,alpha_orig,beta_orig,alpha_rec,beta_rec
672,1,q1a=Y,0.9999999999999991,0.9612033487853415,0.27584075529885926,(0.9612033487853411+0j),(0.2758407552988592+0j)
673,1,q1b=Y,0.9999999999999996,0.11337391405676242,0.9935523919811425,(0.11337391405676236+0j),(0.9935523919811422+0j)
674,1,q0b=Z,0.9999999999999993,0.98557836687432,0.16921962873540508,(0.9855783668743197+0j),(0.16921962873540505+0j)
675,1,q0b=Y,0.9999999999999989,0.9986722201471784,0.051515014377418775,(0.9986722201471779+0j),(0.05151501437741872+0j)
676,1,q0b=Y,0.9999999999999996,0.8282962414300318,0.5602904036594617,(0.8282962414300316+0j),(0.5602904036594616+0j)
677,1,q1=X,0.9999999999999993,0.8702426606404687,0.49262329583709097,(0.8702426606404684+0j),(0.4926232958370908+0j)
678,1,q0=X,0.9999999999999993,0.9500249860090749,0.31217387135770513,(0.9500249860090746+0j),(0.3121738713577051+0j)
679,3,q0=X · q1a=X · q1b=Z,0.9999999999999993,0.11203511291248579,0.9937042484938295,-0.11203511291248583j,-0.9937042484938292j
680,1,q2=Y,0.9999999999999993,0.24218417070511283,0.9702302960946317,(0.24218417070511272+0j),(0.9702302960946314+0j)
681,1,q2b=Z,0.9999999999999998,0.3580615836675183,0.9336979716704481,(0.35806158366751817+0j),(0.9336979716704479+0j)
682,1,q2a=Y,0.9999999999999993,0.11091732525350571,0.9938296367882213,(0.11091732525350567+0j),(0.993829636788221+0j)
683,3,q0=Z · q2a=X · q2b=X,0.5629493587819417,0.3533415396496356,0.9354943914091762,(0.3533415396496355+0j),(-0.9354943914091759+0j)
684,1,q2=Y,0.9999999999999996,0.5847180951272684,0.8112365556548464,(0.5847180951272681+0j),(0.8112365556548462+0j)
685,1,q2a=Z,0.9999999999999991,0.90753467233293,0.41997716427629894,(0.9075346723329296+0j),(0.41997716427629883+0j)
686,1,q1=Y,0.9999999999999993,0.7622228371719322,0.6473147198183973,(0.762222837171932+0j),(0.647314719818397+0j)
687,1,q0b=X,0.9999999999999996,0.7852171140909775,0.619220545313733,(0.7852171140909772+0j),(0.6192205453137328+0j)
688,1,q2a=Z,0.9999999999999996,0.16613402154895188,0.9861031826761195,(0.16613402154895177+0j),(0.9861031826761193+0j)
689,1,q1=X,0.9999999999999996,0.7043110982306253,0.7098914543147921,(0.7043110982306251+0j),(0.7098914543147918+0j)
690,1,q1=X,0.9999999999999993,0.7041245459082552,0.710076491548265,(0.704124545908255+0j),(0.7100764915482648+0j)
691,1,q0a=Y,0.9999999999999993,0.6303897068520964,0.7762788271587265,(0.6303897068520962+0j),(0.7762788271587262+0j)
692,1,q1=Z,0.9999999999999991,0.9197875399178954,0.39241671907780107,(0.9197875399178951+0j),(0.392416719077801+0j)
693,1,q2b=Y,0.9999999999999993,0.05088277370799554,0.9987046326816458,(0.05088277370799556+0j),(0.9987046326816453+0j)
694,1,q2a=Y,0.9999999999999998,0.6771147893565883,0.735877409650944,(0.6771147893565881+0j),(0.7358774096509437+0j)
695,1,q0a=X,0.9999999999999996,0.6077280459697546,0.7941452147698076,(0.6077280459697544+0j),(0.7941452147698074+0j)
696,2,q0b=Y · q1=Z,0.1253312606169402,0.9836760807511686,0.179948237440716,0.179948237440716j,0.9836760807511684j
697,1,q0a=Z,0.9999999999999991,0.5905064689016745,0.8070329052679796,(0.5905064689016742+0j),(0.8070329052679792+0j)
698,1,q0b=X,0.9999999999999991,0.6933783435101366,0.7205737108382035,(0.6933783435101364+0j),(0.7205737108382033+0j)
699,1,q1=Z,0.9999999999999991,0.9826744314639285,0.18534012449290294,(0.9826744314639282+0j),(0.18534012449290288+0j)
700,2,q0b=Y · q2b=Y,0.30423921713334817,0.9576332185308848,0.2879906574286371,(-0.28799065742863705+0j),(-0.9576332185308845+0j)
701,1,q2=Z,0.9999999999999993,0.9700154797001896,0.24304314255294446,(0.9700154797001894+0j),(0.24304314255294435+0j)
702,3,q0=Z · q0b=Z · q2a=Z,0.9999999999999993,0.7549191876814658,0.6558178253679567,(0.7549191876814656+0j),(0.6558178253679565+0j)
703,1,q0=Y,0.9999999999999993,0.11030856180859654,0.9938973896694362,(0.11030856180859655+0j),(0.9938973896694359+0j)
704,1,q2b=Z,0.9999999999999996,0.848373127105978,0.52939875066383,(0.8483731271059778+0j),(0.5293987506638298+0j)
705,1,q1a=Y,0.9999999999999989,0.9557721281548734,0.2941082097499219,(0.955772128154873+0j),(0.2941082097499218+0j)
706,1,q2b=Y,0.9999999999999996,0.4465958042836708,0.8947358200028773,(0.44659580428367074+0j),(0.894735820002877+0j)
707,1,q0=X,0.9999999999999991,0.5174933111165384,0.8556872518330757,(0.5174933111165382+0j),(0.8556872518330754+0j)
708,1,q1=Z,0.9999999999999996,0.9891139125326641,0.14715185365575653,(0.9891139125326639+0j),(0.1471518536557565+0j)
709,1,q2b=Y,0.9999999999999996,0.19313761996343498,0.9811716770040092,(0.19313761996343493+0j),(0.981171677004009+0j)
710,1,q0a=Z,0.9999999999999996,0.837232530397892,0.5468470444681427,(0.8372325303978918+0j),(0.5468470444681426+0j)
711,1,q1a=Y,0.9999999999999993,0.9954682365268144,0.0950946374208044,(0.9954682365268142+0j),(0.0950946374208044+0j)
712,1,q1=X,0.9999999999999991,0.8218168562136715,0.5697517484335415,(0.8218168562136713+0j),(0.5697517484335413+0j)
713,1,q0a=X,0.9999999999999991,0.5530177323752777,0.8331694831656435,(0.5530177323752775+0j),(0.8331694831656433+0j)
714,1,q1=Z,0.9999999999999996,0.668462274307132,0.7437460506302784,(0.6684622743071318+0j),(0.7437460506302782+0j)
715,1,q2=X,0.9999999999999996,0.6035315286410234,0.7973391335788239,(0.6035315286410232+0j),(0.7973391335788236+0j)
716,1,q2b=Z,0.9999999999999993,0.1412160187339731,0.989978805860472,(0.14121601873397305+0j),(0.9899788058604717+0j)
717,1,q2a=Z,0.9999999999999991,0.7813146495475126,0.6241373393752752,(0.7813146495475123+0j),(0.6241373393752749+0j)
718,2,q0=Y · q1b=Y,0.9829978247339691,0.751795314431281,0.6593965462444972,(-0.6593965462444971+0j),(-0.7517953144312808+0j)
719,1,q0=Y,0.9999999999999996,0.3804771180506618,0.9247903344217341,(0.38047711805066176+0j),(0.9247903344217339+0j)
720,1,q1b=Y,0.9999999999999993,0.20376880541252468,0.9790190365568755,(0.20376880541252468+0j),(0.9790190365568752+0j)
721,1,q1b=Z,0.9999999999999991,0.37604109378991907,0.9266029871424337,(0.3760410937899189+0j),(0.9266029871424334+0j)
722,1,q0=Y,0.9999999999999996,0.9983631297696652,0.057193191172713445,(0.998363129769665+0j),(0.05719319117271347+0j)
723,1,q2=Y,0.9999999999999991,0.21761297025559098,0.9760351403389835,(0.21761297025559087+0j),(0.9760351403389831+0j)
724,1,q2b=Y,0.9999999999999989,0.9566643899609208,0.291192796924476,(0.9566643899609204+0j),(0.29119279692447586+0j)
725,1,q2=X,0.9999999999999993,0.9489180979737568,0.31552249260214027,(0.9489180979737565+0j),(0.31552249260214016+0j)
726,1,q0=X,0.9999999999999993,0.3619673754015905,0.9321907632801797,(0.36196737540159035+0j),(0.9321907632801794+0j)
727,1,q0a=Z,0.9999999999999996,0.04385799067498642,0.9990377753888753,(0.04385799067498643+0j),(0.9990377753888751+0j)
728,1,q1b=X,0.9999999999999991,0.8855026105307883,0.46463440116198784,(0.8855026105307879+0j),(0.4646344011619877+0j)
729,1,q1b=X,0.9999999999999993,0.4136865897150756,0.910419356939378,(0.41368658971507544+0j),(0.9104193569393778+0j)
730,1,q2b=Z,0.9999999999999993,0.4122370759217502,0.9110766121657855,(0.4122370759217501+0j),(0.9110766121657852+0j)
731,1,q0b=Y,0.9999999999999991,0.737894689033173,0.6749158672728304,(0.7378946890331728+0j),(0.6749158672728302+0j)
732,1,q2a=Y,0.9999999999999996,0.8727693645904313,0.4881328059374978,(0.872769364590431+0j),(0.48813280593749764+0j)
733,1,q1b=Z,0.9999999999999996,0.5901110747277735,0.8073220667637124,(0.5901110747277734+0j),(0.8073220667637122+0j)
734,3,q0=Y · q0b=X · q1=X,0.9400416589430112,0.992360180379256,0.12337452086087539,(-0.9923601803792557+0j),(0.12337452086087536+0j)
735,1,q2a=Y,0.9999999999999991,0.3621640147710124,0.932114384828891,(0.3621640147710123+0j),(0.9321143848288906+0j)
736,2,q0=Y · q2a=Z,0.010447570565339626,0.9986897663962054,0.051173728567425567,0.051173728567425615j,0.9986897663962051j
737,1,q0=X,0.9999999999999993,0.02194266704978015,0.9997592306964425,(0.021942667049780092+0j),(0.9997592306964421+0j)
738,1,q0a=Y,0.9999999999999996,0.6207693709484031,0.7839932321725258,(0.6207693709484029+0j),(0.7839932321725256+0j)
739,1,q1a=X,0.9999999999999996,0.829952169430898,0.5578345601134319,(0.8299521694308977+0j),(0.5578345601134317+0j)
740,1,q2a=X,0.9999999999999991,0.7820065470595517,0.6232702145586592,(0.7820065470595514+0j),(0.6232702145586589+0j)
741,1,q2=Y,0.9999999999999996,0.8361766200793499,0.5484602629477131,(0.8361766200793497+0j),(0.5484602629477129+0j)
742,1,q1b=Z,0.9999999999999993,0.9644250382110199,0.2643564746165163,(0.9644250382110195+0j),(0.26435647461651623+0j)
743,1,q0=X,0.9999999999999996,0.8993640718616077,0.4372004874705757,(0.8993640718616074+0j),(0.4372004874705756+0j)
744,1,q2=Z,0.9999999999999996,0.21423581228216193,0.9767819699072062,(0.21423581228216185+0j),(0.976781969907206+0j)
745,1,q2a=Z,0.9999999999999998,0.9993038152416399,0.037307972921380494,(0.9993038152416397+0j),(0.037307972921380536+0j)
746,1,q0=Y,0.9999999999999993,0.9328069726180569,0.3603764029943355,(0.9328069726180566+0j),(0.3603764029943354+0j)
747,1,q1a=Z,0.9999999999999996,0.3156937950360947,0.9488611214375412,(0.31569379503609457+0j),(0.9488611214375409+0j)
748,1,q1a=Y,0.9999999999999991,0.01713350297884753,0.999853210764297,(0.01713350297884749+0j),(0.9998532107642967+0j)
749,1,q0a=X,0.9999999999999993,0.9966979241897299,0.08119881720741635,(0.9966979241897296+0j),(0.08119881720741626+0j)
750,1,q1a=Z,0.9999999999999991,0.5019748777192592,0.8648822013076317,(0.501974877719259+0j),(0.8648822013076314+0j)
751,1,q2=X,0.9999999999999991,0.7915251538465274,0.6111365893384482,(0.7915251538465272+0j),(0.6111365893384479+0j)
752,1,q1=Y,0.9999999999999993,0.7477921377179756,0.663932917369805,(0.7477921377179753+0j),(0.6639329173698048+0j)
753,1,q0b=Z,0.9999999999999996,0.9233660152579116,0.3839208276021582,(0.9233660152579115+0j),(0.38392082760215807+0j)
754,1,q1=X,0.9999999999999996,0.19954944112255757,0.9798877591579941,(0.1995494411225575+0j),(0.9798877591579938+0j)
755,1,q1b=Z,0.9999999999999996,0.4625636600023511,0.886586070522896,(0.46256366000235094+0j),(0.8865860705228956+0j)
756,1,q2a=Y,0.9999999999999993,0.9721492527009885,0.23436260468110012,(0.9721492527009882+0j),(0.23436260468110007+0j)
757,1,q0=X,0.9999999999999996,0.36483418708938165,0.9310725084174863,(0.3648341870893814+0j),(0.931072508417486+0j)
758,1,q2b=X,0.9999999999999993,0.3854811466916773,0.9227157122024473,(0.38548114669167716+0j),(0.922715712202447+0j)
759,1,q0=Z,0.9999999999999991,0.3738495296161411,0.9274893687831629,(0.37384952961614093+0j),(0.9274893687831626+0j)
760,1,q1=X,0.9999999999999993,0.59388178826606,0.8045523112675189,(0.5938817882660598+0j),(0.8045523112675187+0j)
761,1,q2b=Y,0.9999999999999993,0.9560276772094549,0.29327645730520924,(0.9560276772094546+0j),(0.2932764573052092+0j)
762,1,q0a=X,0.9999999999999991,0.5922936358893727,0.8057221908852624,(0.5922936358893724+0j),(0.8057221908852621+0j)
763,1,q2a=Y,0.9999999999999993,0.16799501609671516,0.9857878446028153,(0.1679950160967151+0j),(0.985787844602815+0j)
764,1,q2a=Z,0.9999999999999991,0.6424002463359895,0.766369312738617,(0.6424002463359892+0j),(0.7663693127386166+0j)
765,1,q0b=Y,0.9999999999999996,0.10669804045407896,0.9942914704266852,(0.10669804045407895+0j),(0.9942914704266849+0j)
